,codmpio,ano,H_coca,coca,year,pct.chg
616,41298,1993,0,0,1993,0
617,41306,1993,0,0,1993,0
618,41319,1993,0,0,1993,0
619,41349,1993,0,0,1993,0
620,41357,1993,0,0,1993,0
621,41359,1993,0,0,1993,0
622,41378,1993,0,0,1993,0
623,41396,1993,0,0,1993,0
624,41483,1993,0,0,1993,0
625,41503,1993,0,0,1993,0
626,41518,1993,0,0,1993,0
627,41524,1993,0,0,1993,0
628,41530,1993,0,0,1993,0
629,41548,1993,0,0,1993,0
630,41551,1993,0,0,1993,0
631,41615,1993,0,0,1993,0
632,41660,1993,0,0,1993,0
633,41668,1993,0,0,1993,0
634,41676,1993,0,0,1993,0
635,41770,1993,0,0,1993,0
636,41791,1993,0,0,1993,0
637,41797,1993,0,0,1993,0
638,41799,1993,0,0,1993,0
639,41801,1993,0,0,1993,0
640,41807,1993,0,0,1993,0
641,41872,1993,0,0,1993,0
642,41885,1993,0,0,1993,0
643,44001,1993,0,0,1993,0
644,44035,1993,0,0,1993,0
645,44078,1993,0,0,1993,0
646,44090,1993,0,0,1993,0
647,44098,1993,0,0,1993,0
648,44110,1993,0,0,1993,0
649,44279,1993,0,0,1993,0
650,44378,1993,0,0,1993,0
651,44420,1993,0,0,1993,0
652,44430,1993,0,0,1993,0
653,44560,1993,0,0,1993,0
654,44650,1993,0,0,1993,0
655,44847,1993,0,0,1993,0
656,44855,1993,0,0,1993,0
657,44874,1993,0,0,1993,0
658,47001,1993,0,0,1993,0
659,47030,1993,0,0,1993,0
660,47053,1993,0,0,1993,0
661,47058,1993,0,0,1993,0
662,47161,1993,0,0,1993,0
663,47170,1993,0,0,1993,0
664,47189,1993,0,0,1993,0
665,47205,1993,0,0,1993,0
666,47245,1993,0,0,1993,0
667,47258,1993,0,0,1993,0
668,47268,1993,0,0,1993,0
669,47288,1993,0,0,1993,0
670,47318,1993,0,0,1993,0
671,47460,1993,0,0,1993,0
672,47541,1993,0,0,1993,0
673,47545,1993,0,0,1993,0
674,47551,1993,0,0,1993,0
675,47555,1993,0,0,1993,0
676,47570,1993,0,0,1993,0
677,47605,1993,0,0,1993,0
678,47660,1993,0,0,1993,0
679,47675,1993,0,0,1993,0
680,47692,1993,0,0,1993,0
681,47703,1993,0,0,1993,0
682,47707,1993,0,0,1993,0
683,47720,1993,0,0,1993,0
684,47745,1993,0,0,1993,0
685,47798,1993,0,0,1993,0
686,47960,1993,0,0,1993,0
687,47980,1993,0,0,1993,0
688,50001,1993,0,0,1993,0
689,50006,1993,0,0,1993,0
690,50110,1993,0,0,1993,0
691,50124,1993,0,0,1993,0
692,50150,1993,0,0,1993,0
693,50223,1993,0,0,1993,0
694,50226,1993,0,0,1993,0
695,50245,1993,0,0,1993,0
696,50251,1993,0,0,1993,0
697,50270,1993,0,0,1993,0
698,50287,1993,0,0,1993,0
699,50313,1993,0,0,1993,0
700,50318,1993,0,0,1993,0
701,50325,1993,0,0,1993,0
702,50330,1993,0,0,1993,0
703,50350,1993,0,0,1993,0
704,50370,1993,0,0,1993,0
705,50400,1993,0,0,1993,0
706,50450,1993,0,0,1993,0
707,50568,1993,0,0,1993,0
708,50573,1993,0,0,1993,0
709,50577,1993,0,0,1993,0
710,50590,1993,0,0,1993,0
711,50606,1993,0,0,1993,0
712,50680,1993,0,0,1993,0
713,50683,1993,0,0,1993,0
714,50686,1993,0,0,1993,0
715,50689,1993,0,0,1993,0
716,50711,1993,0,0,1993,0
717,52001,1993,0,0,1993,0
718,52019,1993,0,0,1993,0
719,52022,1993,0,0,1993,0
720,52036,1993,0,0,1993,0
721,52051,1993,0,0,1993,0
722,52079,1993,0,0,1993,0
723,52083,1993,0,0,1993,0
724,52110,1993,0,0,1993,0
725,52203,1993,0,0,1993,0
726,52207,1993,0,0,1993,0
727,52210,1993,0,0,1993,0
728,52215,1993,0,0,1993,0
729,52224,1993,0,0,1993,0
730,52227,1993,0,0,1993,0
731,52233,1993,0,0,1993,0
732,52240,1993,0,0,1993,0
733,52250,1993,0,0,1993,0
734,52254,1993,0,0,1993,0
735,52256,1993,0,0,1993,0
736,52258,1993,0,0,1993,0
737,52260,1993,0,0,1993,0
738,52287,1993,0,0,1993,0
739,52317,1993,0,0,1993,0
740,52320,1993,0,0,1993,0
741,52323,1993,0,0,1993,0
742,52352,1993,0,0,1993,0
743,52354,1993,0,0,1993,0
744,52356,1993,0,0,1993,0
745,52378,1993,0,0,1993,0
746,52381,1993,0,0,1993,0
747,52385,1993,0,0,1993,0
748,52390,1993,0,0,1993,0
749,52399,1993,0,0,1993,0
750,52405,1993,0,0,1993,0
751,52411,1993,0,0,1993,0
752,52418,1993,0,0,1993,0
753,52427,1993,0,0,1993,0
754,52435,1993,0,0,1993,0
755,52473,1993,0,0,1993,0
756,52480,1993,0,0,1993,0
757,52490,1993,0,0,1993,0
758,52506,1993,0,0,1993,0
759,52520,1993,0,0,1993,0
760,52540,1993,0,0,1993,0
761,52560,1993,0,0,1993,0
762,52565,1993,0,0,1993,0
763,52573,1993,0,0,1993,0
764,52585,1993,0,0,1993,0
765,52612,1993,0,0,1993,0
766,52621,1993,0,0,1993,0
767,52678,1993,0,0,1993,0
768,52683,1993,0,0,1993,0
769,52685,1993,0,0,1993,0
770,52687,1993,0,0,1993,0
771,52693,1993,0,0,1993,0
772,52694,1993,0,0,1993,0
773,52696,1993,0,0,1993,0
774,52699,1993,0,0,1993,0
775,52720,1993,0,0,1993,0
776,52786,1993,0,0,1993,0
777,52788,1993,0,0,1993,0
778,52835,1993,0,0,1993,0
779,52838,1993,0,0,1993,0
780,52885,1993,0,0,1993,0
781,54001,1993,0,0,1993,0
782,54003,1993,0,0,1993,0
783,54051,1993,0,0,1993,0
784,54099,1993,0,0,1993,0
785,54109,1993,0,0,1993,0
786,54125,1993,0,0,1993,0
787,54128,1993,0,0,1993,0
788,54172,1993,0,0,1993,0
